# EEPROM data read:
# TC4_SHIELD  3.00
# 1.0031  -0.30
# time,ambient,T0,rate0,T1,rate1,0
3.0,21.5,131.3,-8.2,193.9,-4.1,0
4.0,21.5,128.3,-13.7,192.8,-6.1,0
5.0,21.5,125.9,-21.3,191.9,-8.8,0
6.0,21.5,124.0,-29.1,191.5,-11.1,0
7.0,21.5,122.6,-36.1,191.2,-12.8,0
8.0,21.5,121.2,-42.1,190.7,-14.6,0
9.0,21.5,119.8,-47.5,189.2,-18.3,0
10.0,21.5,118.5,-52.2,187.7,-22.9,0
11.0,21.5,117.5,-55.4,186.2,-28.1,0
12.0,21.5,116.4,-58.0,184.1,-34.5,0
# STRT,12.0
13.0,21.5,115.3,-59.9,182.6,-40.5,0
14.0,21.5,114.2,-61.5,181.0,-46.2,0
15.0,21.5,113.2,-62.4,179.7,-51.0,0
16.0,21.5,112.3,-62.8,178.1,-55.7,0
17.0,21.5,111.4,-62.8,176.9,-59.3,0
18.0,21.5,110.4,-62.8,175.6,-62.3,0
19.0,21.5,109.3,-63.0,174.3,-64.9,0
20.0,21.5,109.4,-60.7,174.6,-63.7,0
21.0,21.5,108.3,-59.4,175.0,-60.4,0
22.0,21.5,106.8,-59.7,174.8,-56.7,0
23.0,21.5,104.7,-62.0,175.0,-52.1,0
24.0,21.5,103.6,-63.4,174.8,-47.9,0
25.0,21.5,102.0,-65.4,174.4,-44.4,0
26.0,21.5,100.3,-68.0,173.9,-41.5,0
27.0,21.5,99.3,-69.3,173.5,-38.9,0
28.0,21.5,97.8,-71.0,173.5,-36.1,0
29.0,21.5,96.5,-72.4,173.5,-33.1,0
30.0,21.5,95.5,-72.7,173.2,-30.5,0
31.0,21.5,94.3,-73.0,173.1,-28.1,0
32.0,21.5,93.1,-73.3,173.2,-25.4,0
33.0,21.5,92.3,-72.6,172.7,-23.8,0
34.0,21.5,91.4,-71.6,172.2,-22.8,0
35.0,21.5,90.2,-71.0,172.1,-21.7,0
36.0,21.5,89.2,-70.1,171.9,-20.5,0
37.0,21.5,88.3,-69.1,171.7,-19.6,0
38.0,21.5,87.2,-68.3,171.5,-18.7,0
39.0,21.5,86.8,-66.3,171.3,-17.9,0
40.0,21.5,86.2,-64.2,170.7,-17.9,0
41.0,21.5,85.2,-62.7,170.2,-18.4,0
42.0,21.5,84.5,-60.9,169.9,-18.6,0
43.0,21.5,83.8,-59.1,169.6,-18.6,0
44.0,21.5,83.0,-57.5,169.0,-19.2,0
45.0,21.5,82.8,-55.0,168.8,-19.5,0
46.0,21.5,81.9,-53.4,168.2,-20.2,0
47.0,21.5,81.2,-51.9,167.9,-20.5,0
48.0,21.5,81.2,-49.2,167.7,-20.4,0
49.0,21.5,80.2,-47.9,167.2,-20.6,0
50.0,21.5,80.2,-45.3,166.8,-20.9,0
51.0,21.5,79.8,-43.0,166.7,-20.7,0
52.0,21.5,79.4,-41.0,166.4,-20.4,0
53.0,21.5,79.1,-38.8,166.0,-20.4,0
54.0,21.5,78.7,-36.9,165.9,-19.8,0
55.0,21.5,78.2,-35.4,165.7,-19.3,0
