# EEPROM data read:
# TC4_SHIELD  3.00
# 1.0031  -0.30
# time,ambient,T0,rate0,T1,rate1,0
3.0,68.5,245.7,-16.3,368.2,-10.2,0
4.0,68.5,243.9,-19.0,367.9,-10.2,0
5.0,68.5,242.3,-23.0,368.6,-8.4,0
6.0,68.5,241.0,-27.5,369.0,-6.4,0
# STRT,6.0
7.0,68.5,239.5,-32.3,368.6,-5.7,0
8.0,68.5,237.8,-37.7,368.2,-5.8,0
9.0,68.6,236.1,-43.4,368.1,-5.7,0
10.0,68.6,234.4,-49.0,368.7,-4.2,0
11.0,68.6,231.2,-57.3,370.0,-0.7,0
12.0,68.6,227.1,-68.8,365.0,-8.5,0
13.0,68.6,223.2,-81.8,362.3,-18.1,0
14.0,68.6,219.2,-95.2,360.2,-27.7,0
15.0,68.6,215.7,-107.7,357.9,-37.5,0
16.0,68.6,213.3,-117.1,356.7,-45.1,0
17.0,68.6,210.9,-124.3,354.5,-52.8,0
18.0,68.6,208.6,-129.6,352.4,-60.4,0
19.0,68.6,206.1,-133.8,350.0,-68.2,0
20.0,68.6,203.9,-136.5,347.8,-75.2,0
21.0,68.6,201.6,-138.5,346.1,-80.8,0
22.0,68.6,199.1,-140.1,343.4,-87.2,0
23.0,68.6,196.7,-141.3,340.8,-93.6,0
24.0,68.6,196.7,-137.4,338.8,-98.7,0
25.0,68.6,194.4,-135.3,338.2,-99.9,0
26.0,68.6,191.4,-135.4,337.7,-98.7,0
27.0,68.6,189.0,-135.6,336.9,-96.3,0
28.0,68.6,186.6,-135.9,335.6,-94.2,0
29.0,68.6,184.3,-136.1,334.8,-91.3,0
30.0,68.6,182.4,-135.7,333.9,-88.4,0
31.0,68.6,179.9,-135.8,333.4,-84.5,0
32.0,68.6,178.2,-134.8,332.6,-80.8,0
33.0,68.6,176.1,-133.9,331.4,-78.1,0
34.0,68.6,174.1,-132.7,330.1,-76.2,0
35.0,68.6,172.5,-130.9,329.7,-73.2,0
36.0,68.6,171.0,-128.4,328.9,-70.6,0
37.0,68.6,169.7,-125.2,327.8,-68.7,0
38.0,68.6,168.2,-121.9,327.3,-66.0,0
39.0,68.6,166.5,-119.0,326.5,-63.9,0
40.0,68.6,165.2,-115.8,325.7,-61.8,0
41.0,68.6,163.9,-112.5,324.7,-60.5,0
42.0,68.6,162.5,-109.4,324.0,-59.0,0
43.0,68.6,161.9,-105.0,323.3,-57.4,0
44.0,68.6,160.6,-101.2,322.4,-56.3,0
45.0,68.6,159.4,-97.9,322.0,-54.5,0
46.0,68.6,158.6,-93.9,321.4,-52.7,0
47.0,68.6,157.8,-90.0,320.2,-52.1,0
48.0,68.6,156.9,-86.2,319.9,-50.5,0
49.0,68.6,156.2,-82.3,319.5,-48.8,0
50.0,68.6,155.4,-78.5,319.3,-46.3,0
51.0,68.6,154.9,-74.5,319.2,-43.5,0
52.0,68.6,154.3,-70.7,318.7,-41.3,0
53.0,68.6,153.7,-66.9,318.3,-39.2,0
54.0,68.6,153.2,-63.4,317.8,-37.5,0
55.0,68.6,152.8,-59.8,317.2,-36.3,0
56.0,68.6,152.1,-56.8,316.7,-35.4,0
57.0,68.6,151.6,-54.0,316.5,-33.9,0
58.0,68.6,151.1,-51.3,316.4,-32.0,0
59.0,68.6,150.8,-48.4,315.7,-31.2,0
60.0,68.6,150.5,-45.5,315.4,-30.1,0
61.0,68.6,150.2,-42.7,315.2,-28.8,0
62.0,68.6,149.9,-40.0,315.1,-27.4,0
63.0,68.6,149.8,-37.3,315.2,-25.3,0
64.0,68.6,149.8,-34.2,315.0,-23.4,0
65.0,68.6,149.8,-31.1,314.3,-23.0,0
66.0,68.6,149.7,-28.3,314.2,-22.0,0
67.0,68.6,149.6,-25.7,314.2,-20.6,0
68.0,68.6,149.2,-23.9,314.1,-19.3,0
69.0,68.6,149.2,-22.0,313.8,-18.2,0
70.0,68.6,149.4,-19.6,313.5,-17.7,0
71.0,68.6,149.9,-16.3,313.1,-17.5,0
72.0,68.6,149.4,-14.7,313.0,-16.9,0
73.0,68.6,149.7,-12.5,312.6,-16.8,0
74.0,68.6,149.6,-11.0,312.7,-16.1,0
75.0,68.6,149.6,-9.6,312.1,-16.1,0
76.0,68.6,149.8,-7.9,311.6,-16.6,0
77.0,68.6,149.9,-6.3,311.9,-15.9,0
78.0,68.6,150.3,-4.3,311.4,-15.8,0
79.0,68.6,150.3,-2.9,311.2,-15.6,0
80.0,68.6,150.6,-1.2,311.3,-14.9,0
81.0,68.6,150.8,0.2,311.3,-13.8,0
82.0,68.6,150.9,1.4,311.4,-12.6,0
83.0,68.6,151.1,2.6,311.2,-11.7,0
84.0,68.6,151.2,3.5,311.1,-11.0,0
85.0,68.6,151.7,5.0,310.6,-11.0,0
86.0,68.6,151.8,5.8,310.6,-10.7,0
87.0,68.6,152.2,7.2,310.4,-10.5,0
88.0,68.6,152.1,7.6,310.3,-10.2,0
89.0,68.6,152.6,8.5,310.2,-10.0,0
90.0,68.6,152.7,9.1,310.3,-9.3,0
91.0,68.6,153.4,10.6,310.2,-8.8,0
92.0,68.6,153.5,11.3,310.1,-8.2,0
93.0,68.6,153.9,12.2,309.5,-8.9,0
94.0,68.6,154.5,13.6,309.4,-9.0,0
95.0,68.6,154.8,14.6,309.3,-9.2,0
96.0,68.6,155.3,15.8,309.0,-9.6,0
97.0,68.6,155.6,16.6,308.8,-9.9,0
98.0,68.6,156.2,17.8,308.6,-10.1,0
99.0,68.6,156.5,18.5,308.9,-9.3,0
100.0,68.6,157.1,19.8,309.3,-7.8,0
101.0,68.7,157.4,20.3,309.2,-6.8,0
102.0,68.7,158.0,21.3,308.8,-6.7,0
103.0,68.7,158.3,21.9,308.4,-7.1,0
104.0,68.7,158.7,22.3,307.8,-8.3,0
105.0,68.7,159.4,23.2,307.6,-9.2,0
106.0,68.7,159.6,23.4,307.4,-9.8,0
107.0,68.7,160.1,23.8,307.6,-9.7,0
108.0,68.7,160.6,24.2,307.0,-10.4,0
109.0,68.7,161.1,24.7,307.5,-9.4,0
110.0,68.7,161.8,25.5,307.5,-8.6,0
111.0,68.7,162.1,25.8,307.5,-7.9,0
112.0,68.7,162.8,26.7,307.2,-7.6,0
113.0,68.7,163.1,26.9,307.1,-7.5,0
114.0,68.7,163.7,27.4,307.1,-7.0,0
115.0,68.7,164.1,27.6,306.8,-7.1,0
116.0,68.7,164.6,27.7,307.1,-6.3,0
117.0,68.7,165.1,27.8,307.0,-6.0,0
118.0,68.7,165.5,27.9,307.0,-5.4,0
119.0,68.7,166.1,28.3,306.8,-5.2,0
120.0,68.7,166.7,28.8,306.9,-4.8,0
121.0,68.7,167.0,28.7,306.9,-4.3,0
122.0,68.7,167.8,29.3,307.8,-2.2,0
123.0,68.7,168.2,29.4,307.9,-0.5,0
124.0,68.7,168.8,29.8,307.8,0.4,0
125.0,68.7,169.3,29.9,307.8,1.1,0
126.0,68.7,169.9,30.3,307.7,1.2,0
127.0,68.7,170.4,30.6,308.0,1.9,0
128.0,68.7,170.9,30.8,307.7,1.6,0
129.0,68.7,171.7,31.5,307.7,1.5,0
130.0,68.7,172.3,31.9,307.6,1.1,0
131.0,68.7,172.7,32.1,307.3,0.3,0
132.0,68.7,173.4,32.4,306.9,-0.9,0
133.0,68.7,173.7,32.2,306.8,-1.9,0
134.0,68.7,174.4,32.4,306.7,-2.7,0
135.0,68.7,174.9,32.4,306.6,-3.3,0
136.0,68.7,175.6,32.8,306.3,-4.3,0
137.0,68.7,176.0,32.8,306.2,-5.0,0
138.0,68.7,176.5,32.7,306.3,-5.0,0
139.0,68.7,177.2,32.8,306.5,-4.5,0
140.0,68.7,177.7,32.8,306.9,-3.4,0
141.0,68.7,178.3,33.0,307.0,-2.3,0
142.0,68.7,179.3,34.1,306.9,-1.7,0
143.0,68.7,179.8,34.5,307.1,-0.9,0
144.0,68.7,180.5,35.1,306.8,-0.9,0
145.0,68.7,181.0,35.2,307.1,-0.2,0
146.0,68.7,181.5,35.3,307.2,0.4,0
147.0,68.7,182.0,35.1,307.0,0.3,0
148.0,68.7,182.6,35.0,307.3,0.8,0
149.0,68.7,183.0,34.5,307.5,1.5,0
150.0,68.7,183.7,34.6,307.2,1.5,0
151.0,68.7,184.1,34.1,307.3,1.5,0
152.0,68.7,184.7,33.9,307.1,1.0,0
153.0,68.7,185.3,33.8,306.8,0.3,0
154.0,68.7,185.7,33.4,307.0,0.2,0
155.0,68.7,186.2,33.1,307.0,-0.1,0
156.0,68.7,186.8,33.0,307.2,0.2,0
