# time,ambient,T0,T1,T2,T3
# mcp9800 Config reg OK
10,73,32,71,71,72
12,73,32,71,71,72
13,73,32,71,71,72
14,73,32,71,71,72
15,73,32,71,71,72
17,73,32,71,71,72
18,73,200,71,72,72
19,73,200,71,71,72
20,73,200,71,71,72
21,73,200,71,71,72
23,73,200,71,71,72
24,73,200,71,72,72
25,73,200,71,72,73
26,73,200,71,71,73
28,73,200,71,71,73
29,73,200,71,71,73
30,73,200,71,71,73
31,73,200,71,71,73
32,73,200,71,71,72
34,73,200,71,71,72
35,73,200,71,71,82
36,73,200,71,72,86
37,73,200,71,71,87
39,73,200,71,71,88
40,73,200,71,71,89
41,73,200,71,71,89
42,73,200,71,71,90
44,73,200,78,71,90
45,73,200,87,71,90
46,73,200,88,71,91
47,73,200,90,72,91
48,73,200,90,72,91
50,73,200,91,72,91
51,73,200,91,72,91
52,73,200,92,72,90
53,73,200,92,72,89
55,73,200,92,85,88
56,73,200,92,87,87
57,73,200,92,88,86
58,73,200,93,89,85
59,73,200,93,90,84
61,73,200,93,90,83
62,73,200,92,89,83
63,73,200,89,86,82
64,73,200,87,85,81
66,73,200,85,83,81
67,73,200,85,82,80
68,73,200,83,81,80
69,73,200,82,80,79
71,73,200,82,79,79
72,73,300,81,79,79
73,73,300,80,78,79
74,73,300,79,78,78
75,73,300,79,77,78
77,73,300,78,77,78
78,73,300,78,77,77
79,73,300,77,76,77
80,73,300,77,76,77
82,73,300,76,75,76
83,73,300,76,75,76
84,73,300,76,75,76
85,73,300,75,74,76
86,73,300,75,74,75
88,73,300,75,74,75
89,73,300,75,74,75
90,73,300,74,74,75
91,73,300,74,73,75
93,73,300,74,73,75
94,73,300,74,73,75
95,73,300,74,73,74
96,73,300,73,73,74
98,73,300,73,73,74
99,73,300,73,73,74
100,73,300,73,73,74
101,73,300,73,73,74
102,73,300,73,73,74
104,73,300,73,73,74
105,73,300,73,76,74
106,73,300,73,86,74
107,73,300,73,88,74
109,73,300,72,89,74
110,73,300,72,90,74
111,73,300,72,90,74
112,73,300,72,91,74
114,73,300,72,91,74
115,73,300,72,91,73
116,73,300,72,91,73
117,73,300,72,91,74
118,73,300,72,92,73
120,73,300,72,92,73
121,73,300,72,92,73
122,73,300,72,92,73
123,73,300,72,92,73
125,73,300,72,92,73
126,73,300,72,90,73
127,73,300,72,88,73
128,73,300,72,86,76
129,73,300,72,85,84
131,73,300,71,84,87
132,73,300,72,83,88
133,73,300,71,82,89
134,73,300,71,81,89
136,73,300,72,80,90
137,73,300,72,80,90
138,73,300,72,79,90
139,73,300,71,79,90
141,73,300,71,78,91
142,73,300,71,77,91
143,73,300,71,77,91
144,73,300,71,77,91
145,73,300,71,77,91
147,73,300,71,76,89
148,73,300,71,76,88
149,73,400,71,75,87
150,73,400,71,75,86
152,73,400,71,75,85
153,73,400,71,75,85
154,73,400,71,75,84
155,73,400,71,74,83
157,73,400,71,74,82
158,73,400,71,74,82
159,73,400,71,74,81
160,73,400,71,74,81
161,73,400,71,74,80
163,73,400,71,74,80
164,73,400,71,74,80
165,73,400,71,74,79
166,73,400,71,73,79
168,73,400,71,73,79
169,73,400,71,73,79
170,73,400,71,73,78
171,73,400,71,73,78
172,73,400,71,73,78
